budget,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,genres_list,production_countries_list,cast_names,director,roi,release_year,release_decade,runtime_category,rating_category
,11184,en,6.799314,2004-09-04,,118.0,Kinsey,6.6,131,['Drama'],"['Germany', 'United States of America']","['Liam Neeson', 'Laura Linney', ""Chris O'Donnell"", 'Peter Sarsgaard', 'Timothy Hutton', 'John Lithgow', 'Tim Curry', 'Dagmara Domińczyk', 'Dylan Baker', 'Julianne Nicholson', 'William Sadler', 'John McMartin', 'Veronica Cartwright', 'Kathleen Chalfant', 'Heather Goldenhersh', 'Oliver Platt', 'Luke MacFarlane', 'John Krasinski', 'Randy Redd', 'Mara Hobel']",Bill Condon,,2004,2000,Media (1-2h),Alto
11000000.0,766,en,33.758281,1992-10-09,,81.0,Army of Darkness,7.3,838,"['Fantasy', 'Horror', 'Comedy']",['United States of America'],"['Bruce Campbell', 'Embeth Davidtz', 'Marcus Gilbert', 'Ian Abercrombie', 'Richard Grove', 'Timothy Patrick Quill', 'Michael Earl Reid', 'Bridget Fonda', 'Patricia Tallman', 'Ted Raimi', 'Deke Anderson']",Sam Raimi,,1992,1990,Media (1-2h),Alto
14000000.0,20009,en,9.371811,2002-02-01,6413915.0,86.0,Slackers,5.4,60,"['Comedy', 'Romance']","['Canada', 'United States of America']","['Jason Segel', 'Devon Sawa', 'Jason Schwartzman', 'Jaime King', 'Cameron Diaz', 'Laura Prepon', 'Michael C. Maronna', 'Jim Rash', 'Retta', 'Gedde Watanabe', 'Heidi Kramer', 'Gina Gershon']",Dewey Nicks,0.45813678571428573,2002,2000,Media (1-2h),Medio
11000000.0,1587,en,33.282794,1993-12-17,30000000.0,118.0,What's Eating Gilbert Grape,7.5,919,"['Romance', 'Drama']",['United States of America'],"['Johnny Depp', 'Leonardo DiCaprio', 'Juliette Lewis', 'Darlene Cates', 'Mary Steenburgen', 'Laura Harrington', 'Mary Kate Schellhardt', 'John C. Reilly', 'Kevin Tighe', 'Crispin Glover', 'Robert B. Hedges', 'George Haynes', 'Cameron Finley', 'Mona Lee Fultz', 'Penelope Branning', 'Kay Bower', 'Tim Simek', 'Joe Stevens', 'Tim Green', 'Susan Loughran', 'Brady Coleman', 'Mark Jordan', 'Nicholas Stojanovich', 'Daniel Gullahorn', 'Libby Villari']",Lasse Hallström,2.727272727272727,1993,1990,Media (1-2h),Alto
10000000.0,30973,en,3.208172,2003-09-11,4069090.0,125.0,The Visual Bible: The Gospel of John,8.2,12,"['Drama', 'History']","['Canada', 'United Kingdom']","['Christopher Plummer', 'Henry Ian Cusick', 'Stuart Bunce', 'Daniel Kash', 'Stephen Russell', 'Alan van Sprang', 'Diana Berriman', 'Richard Lintern', 'Scott Handy', 'Lynsey Baxter', 'Diego Matamoros', 'Nancy Palk', 'Elliot Levey', 'Andrew Pifko', 'Stuart Fox', 'David Meyer', 'Nicolas Van Burek', 'William Pappas']",Philip Saville,0.406909,2003,2000,Larga (2-3h),Excelente
11000000.0,11109,en,4.131918,2004-10-22,,125.0,Vera Drake,6.8,80,"['Crime', 'Drama']","['United Kingdom', 'France']","['Imelda Staunton', 'Sally Hawkins', 'Richard Graham', 'Eddie Marsan', 'Anna Keaveney', 'Lesley Manville', 'Daniel Mays', 'Simon Chandler', ""Chris O'Dowd"", 'Adrian Scarborough', 'Ruth Sheen', 'Gerard Monaco', 'Leo Bill', 'Lesley Sharp', 'Peter Wight', 'Martin Savage', 'Jim Broadbent', 'Alex Kelly', 'Sandra Voe', ""Anthony O'Donnell"", 'Marion Bailey', 'Sam Troughton', 'Sinead Matthews', 'Tilly Vosburgh', 'Alan Williams', 'Elizabeth Berrington', 'Allan Corduner', 'Fenella Woolgar', 'Emma Amos', 'Rosie Cavaliero', 'Liz White', 'Nicky Henson', 'Wendy Nottingham', 'Eileen Davies', 'Paul Jesson', 'Vincent Franklin', 'Tom Ellis', 'Helen Coker', 'Jake Wood', 'Heather Craney', 'Phil Davis', 'Sid Mitchell', 'Leo Bill', 'Heather Cameron-McLintock', 'Billie Cook', 'Billy Seymour', 'Nina Fry', 'Joanna Griffiths', 'Angie Wallis', 'Vinette Robinson', 'Robert Putt', 'Craig Conway', 'Paul Raffield', 'Jeffry Wickham', 'Nicholas Jones', 'Angela Curran', 'Jane Wood', 'James Payton', 'John Warman', ""Tracy O'Flaherty"", 'Judith Scott']",Mike Leigh,,2004,2000,Larga (2-3h),Alto
,9027,en,4.093288,2002-08-21,,91.0,The Guru,5.1,75,"['Comedy', 'Romance']","['France', 'United Kingdom', 'United States of America']","['Jimi Mistry', 'Heather Graham', 'Marisa Tomei', 'Michael McKean', 'Dash Mihok', 'Emil Marwa', 'Christine Baranski', 'Ronald Guttman', 'Bobby Cannavale', 'Jason Harris', 'Colleen Hawks']",Daisy von Scherler Mayer,,2002,2000,Media (1-2h),Medio
11000000.0,63020,en,1.187671,1995-05-12,2832826.0,113.0,The Perez Family,6.6,9,"['Comedy', 'Drama', 'Romance']",['United States of America'],"['Marisa Tomei', 'Alfred Molina', 'Anjelica Huston', 'Chazz Palminteri', 'Trini Alvarado', 'Ruben Rabasa', 'Luis Raúl']",Mira Nair,0.25752963636363635,1995,1990,Media (1-2h),Alto
11000000.0,86829,en,36.319205,2013-10-06,32935319.0,105.0,Inside Llewyn Davis,7.2,834,"['Drama', 'Music']","['United States of America', 'France', 'United Kingdom']","['Oscar Isaac', 'Carey Mulligan', 'Justin Timberlake', 'Jerry Grayson', 'Robin Bartlett', 'Max Casella', 'Adam Driver', 'Ethan Phillips', 'Jeanine Serralles', 'Garrett Hedlund', 'John Goodman', 'Stark Sands', 'Alex Karpovsky', 'F. Murray Abraham', 'Benjamin Pike']",Joel Coen,2.994119909090909,2013,2010,Media (1-2h),Alto
,11065,en,4.146752,2001-08-31,16017403.0,95.0,O,5.8,75,"['Drama', 'Romance', 'Thriller']",['United States of America'],"['Mekhi Phifer', 'Josh Hartnett', 'Andrew Keegan', 'Julia Stiles', 'Martin Sheen', 'Rain Phoenix', 'Elden Henson', 'Chris Freihofer', 'John Heard', 'Rachel Shumate']",Tim Blake Nelson,,2001,2000,Media (1-2h),Medio
